Source	Target	Weight
Euk_ASV_33	Euk_ASV_94	0.170263179939513
Euk_ASV_38	Euk_ASV_94	0.17107776463887
Euk_ASV_82	Euk_ASV_94	0.32008537642777
Euk_ASV_67	Euk_ASV_95	0.129500486762286
Euk_ASV_90	Euk_ASV_96	0.165954646754081
Euk_ASV_20	Euk_ASV_97	0.135006465309557
Euk_ASV_78	Euk_ASV_97	0.311053528585042
Euk_ASV_70	Euk_ASV_98	0.133217963281459
Euk_ASV_82	Euk_ASV_98	0.187106912796276
Euk_ASV_97	Euk_ASV_98	0.154074449772595
Euk_ASV_44	Euk_ASV_100	0.364562576612815
Euk_ASV_66	Euk_ASV_100	0.258980841488635
Euk_ASV_44	Euk_ASV_103	0.220073634430052
Euk_ASV_50	Euk_ASV_103	0.151427664873073
Euk_ASV_70	Euk_ASV_103	0.131259210865882
Euk_ASV_78	Euk_ASV_103	0.162894015842672
Euk_ASV_98	Euk_ASV_103	0.150510134986599
Euk_ASV_4	Euk_ASV_104	0.133045658391983
Euk_ASV_44	Euk_ASV_104	0.22709934232369
Euk_ASV_76	Euk_ASV_104	0.281253071548451
Euk_ASV_102	Euk_ASV_104	0.285574911493924
Euk_ASV_75	Euk_ASV_105	0.142663789681275
Euk_ASV_55	Euk_ASV_107	0.233920380862824
Euk_ASV_70	Euk_ASV_107	0.342591390761937
Euk_ASV_78	Euk_ASV_107	0.140811764086243
Euk_ASV_22	Euk_ASV_108	0.14146926099128
Euk_ASV_51	Euk_ASV_108	0.238535707758551
Euk_ASV_81	Euk_ASV_108	0.141096289842214
Euk_ASV_6	Euk_ASV_109	0.135457741363392
Euk_ASV_82	Euk_ASV_109	0.17665969056303
Euk_ASV_23	Euk_ASV_114	0.25194994765286
Euk_ASV_81	Euk_ASV_114	0.186475351404744
Euk_ASV_54	Euk_ASV_116	0.42157413576403
Euk_ASV_75	Euk_ASV_117	0.170158829158171
Euk_ASV_28	Euk_ASV_118	0.203215693931167
Euk_ASV_33	Euk_ASV_118	0.192000839248314
Euk_ASV_79	Euk_ASV_118	0.174935265797656
Euk_ASV_10	Euk_ASV_120	0.134448861932365
Euk_ASV_97	Euk_ASV_120	0.224768588471727
Euk_ASV_104	Euk_ASV_120	0.290949822872028
Euk_ASV_107	Euk_ASV_120	0.168933792382258
Euk_ASV_16	Euk_ASV_121	0.146861804923906
Euk_ASV_59	Euk_ASV_122	0.372025499812009
Euk_ASV_76	Euk_ASV_122	0.142141202680939
Euk_ASV_93	Euk_ASV_122	0.181003143237715
