Sample	depth	layer	OceanRegion	Latitude	Longitude	OceanRegion_Layer
MalaSurf_MD2380_3m	3	SRF	NPO	5.912	-84.795	NPO_SRF
MalaSurf_MD2408_3m	3	SRF	NAO	12.363	-74.039	NAO_SRF
MalaSurf_MD2436_3m	3	SRF	NAO	14.158	-71.673	NAO_SRF
MalaSurf_MD2448_3m	3	SRF	NAO	15.069	-69.295	NAO_SRF
MalaSurf_MD2474_3m	3	SRF	NAO	15.525	-67.014	NAO_SRF
MalaSurf_MD2516_3m	3	SRF	NAO	17.427	-59.828	NAO_SRF
MalaSurf_MD254_3m	3	SRF	NAO	2.457	-26.009	NAO_SRF
MalaSurf_MD2562_3m	3	SRF	NAO	18.064	-57.803	NAO_SRF
MalaSurf_MD2594_3m	3	SRF	NAO	18.996	-55.15	NAO_SRF
MalaSurf_MD2624_3m	3	SRF	NAO	19.99	-52.637	NAO_SRF
MalaSurf_MD2662_3m	3	SRF	NAO	20.804	-50.143	NAO_SRF
MalaSurf_MD266_3m	3	SRF	SAO	-3.03	-27.326	SAO_SRF
MalaSurf_MD2723_3m	3	SRF	NAO	23.735	-41.902	NAO_SRF
MalaSurf_MD2751_3m	3	SRF	NAO	24.845	-38.71	NAO_SRF
MalaSurf_MD2761_3m	3	SRF	NAO	26.11	-35.258	NAO_SRF
MalaSurf_MD2821_3m	3	SRF	NAO	26.911	-32.837	NAO_SRF
MalaSurf_MD285_3m	3	SRF	SAO	-4.779	-28.169	SAO_SRF
MalaSurf_MD2864_3m	3	SRF	NAO	28.875	-26.951	NAO_SRF
MalaSurf_MD28_3m	3	SRF	NAO	35.135	-9.517	NAO_SRF
MalaSurf_MD2956_3m	3	SRF	NAO	30.966	-20.65	NAO_SRF
MalaSurf_MD2973_3m	3	SRF	NAO	32.079	-17.266	NAO_SRF
MalaSurf_MD311_3m	3	SRF	SAO	-7.283	-29.322	SAO_SRF
MalaSurf_MD346_3m	3	SRF	SAO	-13.736	-32.376	SAO_SRF
MalaSurf_MD366_3m	3	SRF	SAO	-15.831	-33.403	SAO_SRF
MalaSurf_MD389_3m	3	SRF	SAO	-18.424	-34.644	SAO_SRF
MalaSurf_MD40_3m	3	SRF	NAO	34.001	-12.781	NAO_SRF
MalaSurf_MD417_3m	3	SRF	SAO	-21.093	-35.972	SAO_SRF
MalaSurf_MD439_3m	3	SRF	SAO	-22.955	-36.925	SAO_SRF
MalaSurf_MD458_3m	3	SRF	SAO	-24.315	-36.222	SAO_SRF
MalaSurf_MD486_3m	3	SRF	SAO	-24.792	-33.476	SAO_SRF
MalaSurf_MD506_3m	3	SRF	SAO	-25.427	-30.07	SAO_SRF
MalaSurf_MD528_3m	3	SRF	SAO	-25.868	-27.567	SAO_SRF
MalaSurf_MD52_3m	3	SRF	NAO	29.683	-17.288	NAO_SRF
MalaSurf_MD550_3m	3	SRF	SAO	-26.947	-21.4	SAO_SRF
MalaSurf_MD575_3m	3	SRF	SAO	-27.553	-18.089	SAO_SRF
MalaSurf_MD591_3m	3	SRF	SAO	-28.091	-14.791	SAO_SRF
MalaSurf_MD60_3m	3	SRF	NAO	28.702	-18.871	NAO_SRF
MalaSurf_MD621_3m	3	SRF	SAO	-28.649	-11.812	SAO_SRF
MalaSurf_MD646_3m	3	SRF	SAO	-29.767	-5.315	SAO_SRF
MalaSurf_MD64_3m	3	SRF	NAO	24.972	-21.053	NAO_SRF
MalaSurf_MD664_3m	3	SRF	SAO	-30.262	-2.435	SAO_SRF
MalaSurf_MD684_3m	3	SRF	SAO	-30.882	0.968	SAO_SRF
MalaSurf_MD712_3m	3	SRF	SAO	-31.308	3.749	SAO_SRF
MalaSurf_MD734_3m	3	SRF	SAO	-31.832	6.857	SAO_SRF
MalaSurf_MD753_3m	3	SRF	SAO	-32.813	12.769	SAO_SRF
MalaSurf_MD778_3m	3	SRF	SAO	-33.233	15.34	SAO_SRF
MalaSurf_MD806_3m	3	SRF	IO	-35.136	25.563	IO_SRF
MalaSurf_MD834_3m	3	SRF	IO	-34.837	27.549	IO_SRF
MalaSurf_MD854_3m	3	SRF	IO	-34.44	31.112	IO_SRF
MalaSurf_MD876_3m	3	SRF	IO	-33.907	37.042	IO_SRF
MalaSurf_MD897_3m	3	SRF	IO	-33.563	39.885	IO_SRF
MalaSurf_MD916_3m	3	SRF	IO	-33.194	43.248	IO_SRF
MalaSurf_MD940_3m	3	SRF	IO	-30.055	61.431	IO_SRF
MalaSurf_MD962_3m	3	SRF	IO	-27.978	63.248	IO_SRF
MalaSurf_MD985_3m	3	SRF	IO	-28.128	66.493	IO_SRF
MalaSurf_MD98_3m	3	SRF	NAO	21.45	-23.455	NAO_SRF
MalaVP_DNA_D1001_4000m	4000	BAT	IO	-29.354	69.4	IO_BAT
MalaVP_DNA_D1003_2500m	2500	BAT	IO	-29.354	69.4	IO_BAT
MalaVP_DNA_D1005_1065m	1065	BAT	IO	-29.354	69.4	IO_BAT
MalaVP_DNA_D1007_715m	715	MES	IO	-29.354	69.4	IO_MES
MalaVP_DNA_D1009_400m	400	MES	IO	-29.354	69.4	IO_MES
MalaVP_DNA_D1011_130m	130	DCM	IO	-29.354	69.4	IO_DCM
MalaVP_DNA_D1156_2600m	2600	BAT	IO	-29.574	96.407	IO_BAT
MalaVP_DNA_D1158_950m	950	MES	IO	-29.574	96.407	IO_MES
MalaVP_DNA_D1160_1790m	1790	BAT	IO	-29.574	96.407	IO_BAT
MalaVP_DNA_D1168_650m	650	MES	IO	-29.574	96.407	IO_MES
MalaVP_DNA_D1170_3m	3	SRF	IO	-29.574	96.407	IO_SRF
MalaVP_DNA_D1172_115m	115	DCM	IO	-29.574	96.407	IO_DCM
MalaVP_DNA_D1180_420m	420	MES	IO	-29.574	96.407	IO_MES
MalaVP_DNA_D1660_4000m	4000	BAT	SPO	-3.41	-169.463	SPO_BAT
MalaVP_DNA_D1662_1500m	1500	BAT	SPO	-3.41	-169.463	SPO_BAT
MalaVP_DNA_D1664_650m	650	MES	SPO	-3.41	-169.463	SPO_MES
MalaVP_DNA_D1666_580m	580	MES	SPO	-3.41	-169.463	SPO_MES
MalaVP_DNA_D1668_450m	450	MES	SPO	-3.41	-169.463	SPO_MES
MalaVP_DNA_D1672_3m	3	SRF	SPO	-3.41	-169.463	SPO_SRF
MalaVP_DNA_D1684_65m	65	DCM	SPO	-3.41	-169.463	SPO_DCM
MalaVP_DNA_D1758_3m	3	SRF	NPO	6.992	-164.372	NPO_SRF
MalaVP_DNA_D1760_4000m	4000	BAT	NPO	6.992	-164.372	NPO_BAT
MalaVP_DNA_D1762_2000m	2000	BAT	NPO	6.992	-164.372	NPO_BAT
MalaVP_DNA_D1764_750m	750	MES	NPO	6.992	-164.372	NPO_MES
MalaVP_DNA_D1766_600m	600	MES	NPO	6.992	-164.372	NPO_MES
MalaVP_DNA_D1768_400m	400	MES	NPO	6.992	-164.372	NPO_MES
MalaVP_DNA_D1770_80m	80	DCM	NPO	6.992	-164.372	NPO_DCM
MalaVP_DNA_D2021_4000m	4000	BAT	NPO	17.37	-130.611	NPO_BAT
MalaVP_DNA_D2023_2000m	2000	BAT	NPO	17.37	-130.611	NPO_BAT
MalaVP_DNA_D2025_500m	500	MES	NPO	17.37	-130.611	NPO_MES
MalaVP_DNA_D2027_400m	400	MES	NPO	17.37	-130.611	NPO_MES
MalaVP_DNA_D2029_200m	200	MES	NPO	17.37	-130.611	NPO_MES
MalaVP_DNA_D2031_110m	110	DCM	NPO	17.37	-130.611	NPO_DCM
MalaVP_DNA_D2033_3m	3	SRF	NPO	17.37	-130.611	NPO_SRF
MalaVP_DNA_D2219_2000m	2000	BAT	NPO	10.759	-102.442	NPO_BAT
MalaVP_DNA_D2221_780m	780	MES	NPO	10.759	-102.442	NPO_MES
MalaVP_DNA_D2223_600m	600	MES	NPO	10.759	-102.442	NPO_MES
MalaVP_DNA_D2225_280m	280	MES	NPO	10.759	-102.442	NPO_MES
MalaVP_DNA_D2227_37m	37	DCM	NPO	10.759	-102.442	NPO_DCM
MalaVP_DNA_D2229_3m	3	SRF	NPO	10.759	-102.442	NPO_SRF
MalaVP_DNA_D2410_3100m	3100	BAT	NAO	14.158	-71.673	NAO_BAT
MalaVP_DNA_D2412_2400m	2400	BAT	NAO	14.158	-71.673	NAO_BAT
MalaVP_DNA_D2414_2000m	2000	BAT	NAO	14.158	-71.673	NAO_BAT
MalaVP_DNA_D2416_800m	800	MES	NAO	14.158	-71.673	NAO_MES
MalaVP_DNA_D2418_460m	460	MES	NAO	14.158	-71.673	NAO_MES
MalaVP_DNA_D2420_106m	106	DCM	NAO	14.158	-71.673	NAO_DCM
MalaVP_DNA_D2422_3m	3	SRF	NAO	14.158	-71.673	NAO_SRF
MalaVP_DNA_D271_3m	3	SRF	SAO	-4.779	-28.169	SAO_SRF
MalaVP_DNA_D273_4000m	4000	BAT	SAO	-4.779	-28.169	SAO_BAT
MalaVP_DNA_D275_1700m	1700	BAT	SAO	-4.779	-28.169	SAO_BAT
MalaVP_DNA_D277_800m	800	MES	SAO	-4.779	-28.169	SAO_MES
MalaVP_DNA_D2795_4000m	4000	BAT	NAO	26.911	-32.837	NAO_BAT
MalaVP_DNA_D2797_2500m	2500	BAT	NAO	26.911	-32.837	NAO_BAT
MalaVP_DNA_D279_450m	450	MES	SAO	-4.779	-28.169	SAO_MES
MalaVP_DNA_D2803_430m	430	MES	NAO	26.911	-32.837	NAO_MES
MalaVP_DNA_D281_80m	80	DCM	SAO	-4.779	-28.169	SAO_DCM
MalaVP_DNA_D283_110m	110	DCM	SAO	-4.779	-28.169	SAO_DCM
MalaVP_DNA_D514_3m	3	SRF	SAO	-25.868	-27.567	SAO_SRF
MalaVP_DNA_D516_4000m	4000	BAT	SAO	-25.868	-27.567	SAO_BAT
