"PhylumDivision"	"ID"	"Kingdom"	"color"
"Actinobacteria"	"Prok_ASV_2931"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_1036"	"Bacteria"	"#F7FCB9"
"Actinobacteria"	"Prok_ASV_917"	"Bacteria"	"#F7FCB9"
"Alphaproteobacteria"	"Prok_ASV_3335"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1017"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_8678"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_8496"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2869"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_285"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2991"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1650"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1554"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_85"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_301"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3192"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1810"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1254"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1146"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1256"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_106"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_9148"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3195"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_334"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_818"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1698"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1397"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2948"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_788"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1075"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_10190"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_792"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1591"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_10290"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3264"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1119"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3102"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1034"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3107"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1040"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_973"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1096"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1043"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1401"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2984"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_804"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3298"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4146"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1367"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_7314"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1013"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1582"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1267"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1563"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_611"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_854"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4492"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_99"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_145"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1823"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3689"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_740"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3691"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5444"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1618"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1697"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3703"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2756"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_622"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_828"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3712"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_147"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1242"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1409"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1968"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1134"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2967"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2180"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3278"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1250"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1663"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_497"	"Bacteria"	"#182A7B"
